,Prop_type,Area,Bedrooms,Bathrooms,Receptions,County,Price
296,5,328,0,0,0,London,210000
147,5,381,0,0,0,London,260000
352,5,277,0,0,0,London,295000
326,5,344,0,0,0,London,295000
1967,1,274,1,1,1,London,299950
2649,1,573,1,1,1,Middlesex,300000
2626,1,601,2,2,2,Middlesex,325000
2678,1,477,1,1,1,Surrey,334950
761,1,302,1,1,1,London,350000
597,5,425,0,0,0,London,350000
2657,3,664,2,2,2,Surrey,374950
1672,1,344,1,1,1,London,385000
1095,5,297,0,0,0,London,385000
1768,1,292,1,1,1,London,398000
2279,3,362,1,1,1,London,399950
2081,1,305,1,1,1,London,399950
1208,1,398,1,1,1,London,399950
2662,3,697,2,2,2,Surrey,399950
2658,1,805,2,2,2,Surrey,400000
2296,1,376,1,1,1,London,405000
47,1,403,1,1,1,London,420000
388,1,422,1,1,1,London,424995
2739,3,603,1,1,1,Surrey,425000
2817,1,826,2,2,2,Surrey,430000
2889,3,538,1,1,1,other,430000
2895,3,538,1,1,1,other,432500
1474,1,420,1,1,1,London,435000
1113,1,439,1,1,1,London,435000
1473,1,412,1,1,1,London,435000
2446,1,440,1,1,1,London,450000
2631,1,708,2,2,2,Middlesex,450000
1027,5,332,0,0,0,London,450000
726,5,410,0,0,0,London,450000
718,1,377,1,1,1,London,450000
2851,1,646,1,1,1,Twickenham,450000
20,1,790,2,2,2,Essex,450000
2029,1,386,1,1,1,London,450000
1824,1,458,1,1,1,London,450000
1098,5,680,0,0,0,London,450000
314,1,431,1,1,1,London,460000
514,1,473,1,1,1,London,465000
962,1,461,1,1,1,London,465000
28,1,885,2,2,2,Essex,470000
1258,3,474,1,1,1,London,475000
16,2,890,2,2,2,Essex,475000
1765,1,471,1,1,1,London,475000
2147,1,425,1,1,1,London,475000
2738,1,645,2,2,2,Surrey,475000
1398,1,477,1,1,1,London,475000
394,1,381,1,1,1,London,475000
91,1,448,1,1,1,London,480000
2906,3,545,1,1,1,other,485000
2315,1,454,1,1,1,London,485000
2859,3,570,1,1,1,other,490000
1418,1,499,1,1,1,London,495000
329,1,451,1,1,1,London,499000
783,1,386,1,1,1,London,499950
996,1,388,1,1,1,London,499950
1347,1,360,1,1,1,London,499999
1939,1,477,1,1,1,London,499999
473,1,452,1,1,1,London,499999
1767,1,464,1,1,1,London,499999
2347,1,462,1,1,1,London,500000
2639,2,792,2,2,2,Middlesex,500000
1090,1,492,1,1,1,London,500000
2619,3,808,2,2,2,Middlesex,500000
2117,1,418,1,1,1,London,500000
2670,2,963,2,2,2,Surrey,500000
89,1,458,1,1,1,London,500000
2796,2,669,2,2,2,Surrey,500000
1332,1,373,1,1,1,London,500000
2897,1,563,1,1,1,other,500000
515,1,451,1,1,1,London,500000
1477,1,508,1,1,1,London,500000
1510,1,481,1,1,1,London,500000
2645,1,955,2,2,2,Middlesex,500000
2603,1,872,2,2,2,Middlesex,500000
2132,1,518,1,1,1,London,515000
2214,1,411,1,1,1,London,520000
2707,1,944,2,2,2,Surrey,520000
